"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
46.180925,40,84,26.34215,20,54,55183.8826375,28380,124471,1236.3496375,1052,2105,1,21.653962106649,"Overall","system","teastore-private-nlb-rds-two-lowreplication"
74.6477,69,111,13.4014,11,22,29174.5877,28994,32991,2106.4379,2109,2111,1,13.3962600321242,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-lowreplication"
70.8667,65,105,13.0905,11,22,28487.9179,28298,32315,1864.059,1865,1867,1,14.1109999477893,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-lowreplication"
15.5482,13,25,15.5173,13,25,9118,9118,9118,210,210,210,1,64.3161266255901,"Home","requestTrace","teastore-private-nlb-rds-two-lowreplication"
37.0596,33,57,34.7181,31,53,118828.1327,113193,152095,833.886,834,835,1,26.9835616142646,"List Products","requestTrace","teastore-private-nlb-rds-two-lowreplication"
36.6596,32,57,34.5316,31,53,118744.1411,112331,151662,959.4763,960,961,1,27.2779844842824,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-lowreplication"
44.4196,40,67,27.5942,24,45,10447.9868,10448,10449,1146.0868,1146,1147,1,22.5125845347549,"Login","requestTrace","teastore-private-nlb-rds-two-lowreplication"
25.1201,22,39,8.6362,7,15,10821.84,10823,10823,1949.3108,1952,1953,1,39.8087587230943,"Logout","requestTrace","teastore-private-nlb-rds-two-lowreplication"
65.1259,59,99,63.2479,58,97,115848.4549,109556,149184,821.5403,822,823,1,15.3548741744836,"Look at Product","requestTrace","teastore-private-nlb-rds-two-lowreplication"
10.657,10,15,10.599,10,15,9117.71,9118,9118,210,210,210,1,93.8350380031904,"Home - discrete","requestTrace","teastore-private-nlb-rds-two-lowreplication"
28.7762376237624,26,41,17.0504950495049,15,25,10451.1148514851,10448,10449,1151.10693069307,1146,1147,1,34.7508945774842,"Login - discrete","requestTrace","teastore-private-nlb-rds-two-lowreplication"
23.6650485436893,21,34,22.4203883495146,20,32,109374.436893204,105220,151567,264.674757281553,236,236,1,42.2564102564103,"List Products - discrete","requestTrace","teastore-private-nlb-rds-two-lowreplication"
45.6240384615385,41,71,44.2557692307692,40,68,116828.599038462,108154,147714,258.539423076923,224,224,1,21.9182701426795,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-two-lowreplication"
43.7557692307692,40,62.1,8.61346153846154,7,14,28426.6403846154,27938,27957,1128.03269230769,1126,1126,1,22.8541291258296,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-two-lowreplication"
14.778,13,20,4.741,4,7,10562.42,10563,10563,977.558,980,980,1,67.6681553660847,"Logout - discrete","requestTrace","teastore-private-nlb-rds-two-lowreplication"
